 activity_day | daily_active_users_proxy 
--------------+--------------------------
 2025-01-01   |                    43475
 2025-01-02   |                    59955
 2025-01-03   |                    62771
 2025-01-04   |                    47105
 2025-01-05   |                    44218
 2025-01-06   |                    49601
 2025-01-07   |                    54279
 2025-01-08   |                    54865
 2025-01-09   |                    55891
 2025-01-10   |                    67090
 2025-01-11   |                    54303
 2025-01-12   |                    58124
 2025-01-13   |                    71353
 2025-01-14   |                    67471
 2025-01-15   |                    65647
 2025-01-16   |                    66022
 2025-01-17   |                    71639
 2025-01-18   |                    52510
 2025-01-19   |                    38042
 2025-01-20   |                    28995
 2025-01-21   |                    42166
 2025-01-22   |                    46225
 2025-01-23   |                    54184
 2025-01-24   |                    59267
 2025-01-25   |                    51137
 2025-01-26   |                    56101
 2025-01-27   |                    65893
 2025-01-28   |                    73288
 2025-01-29   |                    75300
 2025-01-30   |                    71508
 2025-01-31   |                    58230
 2025-02-01   |                    60254
 2025-02-02   |                    43910
 2025-02-03   |                    70848
 2025-02-04   |                    77383
 2025-02-05   |                    72149
 2025-02-06   |                    49157
 2025-02-07   |                    72443
 2025-02-08   |                    53907
 2025-02-09   |                    31792
 2025-02-10   |                    58382
 2025-02-11   |                    61763
 2025-02-12   |                    54879
 2025-02-13   |                    63029
 2025-02-14   |                    63968
 2025-02-15   |                    36478
 2025-02-16   |                    26560
 2025-02-17   |                    45263
 2025-02-18   |                    48805
 2025-02-19   |                    54023
 2025-02-20   |                    48728
 2025-02-21   |                    51504
 2025-02-22   |                    53896
 2025-02-23   |                    58956
 2025-02-24   |                    74744
 2025-02-25   |                    87664
 2025-02-26   |                    94047
 2025-02-27   |                    83428
 2025-02-28   |                    89758
 2025-03-01   |                    79960
 2025-03-02   |                    46534
 2025-03-03   |                    65436
 2025-03-04   |                    85539
 2025-03-05   |                    60618
 2025-03-06   |                    83246
 2025-03-07   |                    79869
 2025-03-08   |                    68889
 2025-03-09   |                    67039
 2025-03-10   |                    96739
 2025-03-11   |                   107871
 2025-03-12   |                    97973
 2025-03-13   |                    95530
 2025-03-14   |                    97850
 2025-03-15   |                    76226
 2025-03-16   |                    74259
 2025-03-17   |                    71351
 2025-03-18   |                    99874
 2025-03-19   |                   106302
 2025-03-20   |                    80671
 2025-03-21   |                    84572
 2025-03-22   |                    89949
 2025-03-23   |                    68740
 2025-03-24   |                    49469
 2025-03-25   |                   100528
 2025-03-26   |                    90440
 2025-03-27   |                    94114
 2025-03-28   |                    98807
 2025-03-29   |                   113764
 2025-03-30   |                    72761
 2025-03-31   |                    84808
 2025-04-01   |                    97592
 2025-04-02   |                    90896
 2025-04-03   |                   104432
 2025-04-04   |                   115242
 2025-04-05   |                    64753
 2025-04-06   |                    75599
 2025-04-07   |                    60001
 2025-04-08   |                    85646
 2025-04-09   |                    90970
 2025-04-10   |                    88075
 2025-04-11   |                    60368
 2025-04-12   |                    38008
 2025-04-13   |                    78502
 2025-04-14   |                    95762
 2025-04-15   |                   106308
 2025-04-16   |                    90501
 2025-04-17   |                   109166
 2025-04-18   |                   107000
 2025-04-19   |                   120764
 2025-04-20   |                    94246
 2025-04-21   |                    94486
 2025-04-22   |                   126610
 2025-04-23   |                   130632
 2025-04-24   |                   135902
 2025-04-25   |                   133197
 2025-04-26   |                   102701
 2025-04-27   |                    98760
 2025-04-28   |                   122096
 2025-04-29   |                   134330
 2025-04-30   |                   137941
 2025-05-01   |                   133585
 2025-05-02   |                   139952
 2025-05-03   |                   138318
 2025-05-04   |                    76001
 2025-05-05   |                    63718
 2025-05-06   |                    96108
 2025-05-07   |                   137397
 2025-05-08   |                   135548
 2025-05-09   |                    73462
 2025-05-10   |                   133572
 2025-05-11   |                   119314
 2025-05-12   |                   127727
 2025-05-13   |                   106891
 2025-05-14   |                    57392
 2025-05-15   |                   129708
 2025-05-16   |                   123381
 2025-05-17   |                   147759
 2025-05-18   |                   124697
 2025-05-19   |                   121856
 2025-05-20   |                   132337
 2025-05-21   |                    88350
 2025-05-22   |                    57201
 2025-05-23   |                    97407
 2025-05-24   |                    94605
 2025-05-25   |                    95428
 2025-05-26   |                   110218
 2025-05-27   |                   128933
 2025-05-28   |                    84640
 2025-05-29   |                   119224
 2025-05-30   |                   133194
 2025-05-31   |                   118230
 2025-06-01   |                   111594
 2025-06-02   |                   127387
 2025-06-03   |                   142291
 2025-06-04   |                   150554
 2025-06-05   |                   146935
 2025-06-06   |                   144128
 2025-06-07   |                   103506
 2025-06-08   |                   118810
 2025-06-09   |                   107995
 2025-06-10   |                   117188
 2025-06-11   |                   151397
 2025-06-12   |                   150535
 2025-06-13   |                   145236
 2025-06-14   |                    73678
 2025-06-15   |                    81504
 2025-06-16   |                   112272
 2025-06-17   |                   117182
 2025-06-18   |                   139763
 2025-06-19   |                   112992
 2025-06-20   |                   139509
 2025-06-21   |                   134367
 2025-06-22   |                   108190
 2025-06-23   |                   123684
 2025-06-24   |                   129803
 2025-06-25   |                   133400
 2025-06-26   |                   138963
 2025-06-27   |                   130964
 2025-06-28   |                   124940
 2025-06-29   |                   119121
 2025-06-30   |                   122113
 2025-07-01   |                    98337
 2025-07-02   |                   127891
 2025-07-03   |                   116247
 2025-07-04   |                    99568
 2025-07-05   |                   101363
 2025-07-06   |                   104491
 2025-07-07   |                   118399
 2025-07-08   |                   121372
 2025-07-09   |                   134198
 2025-07-10   |                   137238
 2025-07-11   |                   138241
 2025-07-12   |                   137878
 2025-07-13   |                   127122
 2025-07-14   |                    93218
 2025-07-15   |                   139374
 2025-07-16   |                   143198
 2025-07-17   |                   141126
 2025-07-18   |                   141270
 2025-07-19   |                   132187
 2025-07-20   |                   120541
 2025-07-21   |                   131900
 2025-07-22   |                   144206
 2025-07-23   |                   146535
 2025-07-24   |                   145186
 2025-07-25   |                   130115
 2025-07-26   |                   136737
 2025-07-27   |                   116110
 2025-07-28   |                   128799
 2025-07-29   |                   138389
 2025-07-30   |                   134904
 2025-07-31   |                   108661
 2025-08-01   |                   130824
 2025-08-02   |                   151212
 2025-08-03   |                   127948
 2025-08-04   |                   131742
 2025-08-05   |                   139750
 2025-08-06   |                   132374
 2025-08-07   |                   142544
 2025-08-08   |                   140320
 2025-08-09   |                   149895
 2025-08-10   |                   123937
 2025-08-11   |                   129344
 2025-08-12   |                   140156
 2025-08-13   |                   111955
 2025-08-14   |                   139225
 2025-08-15   |                   137101
 2025-08-16   |                   149016
 2025-08-17   |                   110763
 2025-08-18   |                   124007
 2025-08-19   |                   137955
 2025-08-20   |                    77663
 2025-08-21   |                   120878
 2025-08-22   |                   135012
 2025-08-23   |                   135247
 2025-08-24   |                   119549
 2025-08-25   |                   124760
 2025-08-26   |                   135877
 2025-08-27   |                   136548
 2025-08-28   |                   134192
 2025-08-29   |                   126149
 2025-08-30   |                   116781
 2025-08-31   |                   111983
 2025-09-01   |                   111143
 2025-09-02   |                   135538
 2025-09-03   |                   144938
 2025-09-04   |                   142747
 2025-09-05   |                   148018
 2025-09-06   |                   108995
 2025-09-07   |                    90963
 2025-09-08   |                   138285
 2025-09-09   |                   146688
 2025-09-10   |                   127054
 2025-09-11   |                   154536
 2025-09-12   |                   154444
 2025-09-13   |                   149173
 2025-09-14   |                   135207
 2025-09-15   |                   137954
 2025-09-16   |                   145145
 2025-09-17   |                   133241
 2025-09-18   |                   154870
 2025-09-19   |                   154902
 2025-09-20   |                   145863
 2025-09-21   |                   126587
 2025-09-22   |                   131512
 2025-09-23   |                   139384
 2025-09-24   |                   134145
 2025-09-25   |                   117742
 2025-09-26   |                   154932
 2025-09-27   |                   142511
 2025-09-28   |                   129281
 2025-09-29   |                   137485
 2025-09-30   |                   149228
 2025-10-01   |                   144343
 2025-10-02   |                   133562
 2025-10-03   |                   144803
 2025-10-04   |                   143860
 2025-10-05   |                   130828
 2025-10-06   |                   136159
 2025-10-07   |                   145335
 2025-10-08   |                   117289
 2025-10-09   |                   135186
 2025-10-10   |                   132857
 2025-10-11   |                    96796
 2025-10-12   |                    62941
 2025-10-13   |                    51839
 2025-10-14   |                   117483
 2025-10-15   |                   134403
 2025-10-16   |                   127646
 2025-10-17   |                   131919
 2025-10-18   |                   130567
 2025-10-19   |                   121378
 2025-10-20   |                    98084
 2025-10-21   |                   131711
 2025-10-22   |                   127660
 2025-10-23   |                   127005
 2025-10-24   |                   128134
 2025-10-25   |                   115991
 2025-10-26   |                   105020
 2025-10-27   |                   111334
 2025-10-28   |                   114750
 2025-10-29   |                   120835
 2025-10-30   |                    64020
 2025-10-31   |                   120410
 2025-11-01   |                   115874
 2025-11-02   |                   113642
 2025-11-03   |                   109183
 2025-11-04   |                   118526
 2025-11-05   |                   124071
 2025-11-06   |                   113992
 2025-11-07   |                   117598
 2025-11-08   |                   119413
 2025-11-09   |                    79199
 2025-11-10   |                    85308
 2025-11-11   |                    76827
 2025-11-12   |                    98368
 2025-11-13   |                   102242
 2025-11-14   |                   107713
 2025-11-15   |                    93458
 2025-11-16   |                    79346
 2025-11-17   |                    83437
 2025-11-18   |                    95136
 2025-11-19   |                    86239
 2025-11-20   |                   101817
 2025-11-21   |                   106784
 2025-11-22   |                    85547
 2025-11-23   |                    76121
 2025-11-24   |                    92594
 2025-11-25   |                    70550
 2025-11-26   |                    83092
 2025-11-27   |                    38668
 2025-11-28   |                    45614
 2025-11-29   |                    53709
 2025-11-30   |                    41628
 2025-12-01   |                    80998
 2025-12-02   |                    54190
 2025-12-03   |                    83699
 2025-12-04   |                    80070
 2025-12-05   |                    70782
 2025-12-06   |                    72176
 2025-12-07   |                    66957
 2025-12-08   |                    64569
 2025-12-09   |                    70028
 2025-12-10   |                    72181
 2025-12-11   |                    74182
 2025-12-12   |                    73624
 2025-12-13   |                    70660
 2025-12-14   |                    21798
 2025-12-15   |                    44586
 2025-12-16   |                    58313
 2025-12-17   |                    73475
 2025-12-18   |                    85308
 2025-12-19   |                    52975
 2025-12-20   |                    59509
 2025-12-21   |                    49183
 2025-12-22   |                    57484
 2025-12-23   |                    41828
 2025-12-24   |                    43563
 2025-12-25   |                    21852
 2025-12-26   |                    26516
 2025-12-27   |                    11897
 2025-12-28   |                    21109
 2025-12-29   |                    35744
 2025-12-30   |                    41868
 2025-12-31   |                    43126
(365 rows)

 activity_week_start | weekly_active_users_proxy 
---------------------+---------------------------
 2024-12-30          |                    188330
 2025-01-06          |                    241190
 2025-01-13          |                    264337
 2025-01-20          |                    214069
 2025-01-27          |                    273750
 2025-02-03          |                    265031
 2025-02-10          |                    228814
 2025-02-17          |                    228454
 2025-02-24          |                    343252
 2025-03-03          |                    317098
 2025-03-10          |                    398711
 2025-03-17          |                    375149
 2025-03-24          |                    392728
 2025-03-31          |                    393464
 2025-04-07          |                    311311
 2025-04-14          |                    453534
 2025-04-21          |                    508281
 2025-04-28          |                    541395
 2025-05-05          |                    478219
 2025-05-12          |                    517015
 2025-05-19          |                    441462
 2025-05-26          |                    510535
 2025-06-02          |                    567466
 2025-06-09          |                    510490
 2025-06-16          |                    536769
 2025-06-23          |                    547680
 2025-06-30          |                    494780
 2025-07-07          |                    553378
 2025-07-14          |                    556253
 2025-07-21          |                    575991
 2025-07-28          |                    564006
 2025-08-04          |                    585913
 2025-08-11          |                    562766
 2025-08-18          |                    527125
 2025-08-25          |                    544420
 2025-09-01          |                    540279
 2025-09-08          |                    594460
 2025-09-15          |                    589411
 2025-09-22          |                    564568
 2025-09-29          |                    582236
 2025-10-06          |                    496523
 2025-10-13          |                    496510
 2025-10-20          |                    494232
 2025-10-27          |                    461550
 2025-11-03          |                    462436
 2025-11-10          |                    382519
 2025-11-17          |                    377740
 2025-11-24          |                    281523
 2025-12-01          |                    306402
 2025-12-08          |                    272159
 2025-12-15          |                    266505
 2025-12-22          |                    159675
 2025-12-29          |                     98392
(53 rows)

 activity_month | monthly_active_users_proxy 
